size,fp32_score,int8_score
small,0.3824612498,0.3406691849
small,0.4243625998,0.3406691849
small,0.4744255245,0.3916911483
small,0.4851630032,0.3916911483
small,0.4340058267,0.2930911481
small,0.4101788998,0.4451949298
small,0.4524083436,0.5
small,0.4216188192,0.3916911483
small,0.4972145557,0.3398346603
small,0.4038428068,0.3916911483
small,0.374587357,0.3398346603
small,0.4536057413,0.3406691849
small,0.4049288332,0.2930911481
small,0.3382498026,0.3398346603
small,0.4455116391,0.3916911483
small,0.417576015,0.3911007941
small,0.4483472705,0.3406691849
small,0.437419802,0.3398346603
small,0.4437851906,0.3916911483
small,0.518533051,0.3406691849
small,0.3235431015,0.2920652032
small,0.4999082386,0.3916911483
small,0.3092141449,0.2930911481
small,0.4204238951,0.3398346603
small,0.3643966615,0.2930911481
small,0.3043068945,0.3398346603
small,0.3696261346,0.2771843374
small,0.3769066334,0.3454769254
small,0.2642732263,0.2771843374
small,0.4442824423,0.3454769254
small,0.3239136934,0.3454769254
small,0.3711077273,0.392159313
small,0.4812645018,0.2771843374
small,0.4630932808,0.3454769254
small,0.4142826796,0.4207999408
small,0.3578780293,0.2939058244
small,0.4747163355,0.4207999408
small,0.4671057463,0.4207999408
small,0.3907879889,0.3454769254
small,0.5301338434,0.5
small,0.4557393491,0.3454769254
small,0.4917881787,0.4207999408
small,0.4254135787,0.4207999408
small,0.3525349796,0.3454769254
small,0.3282363415,0.2939058244
small,0.479105711,0.5
small,0.447910428,0.2771843374
small,0.3900104165,0.4207999408
small,0.3419457078,0.2555325031
small,0.4819307327,0.4207999408
small,0.4017446339,0.3454769254
small,0.3386518657,0.309600085
small,0.4670445025,0.3454769254
small,0.5016214848,0.2930911481
small,0.3974176049,0.2771843374
small,0.4363020658,0.3406691849
small,0.4642809629,0.2555325031
small,0.4918628037,0.3406691849
small,0.4180309176,0.2930911481
small,0.3816702366,0.3406691849
small,0.6177529097,0.5
small,0.4428774416,0.2555325031
small,0.4812912345,0.3406691849
small,0.396732837,0.3406691849
small,0.5022752285,0.2555325031
small,0.4886484146,0.3916911483
small,0.460837692,0.2555325031
small,0.5113937259,0.3406691849
small,0.4969173074,0.2555325031
small,0.4922918081,0.2930911481
small,0.4778560996,0.2555325031
small,0.4859567583,0.309600085
small,0.447812587,0.2930911481
small,0.2969982028,0.2930911481
small,0.3532688916,0.3406691849
small,0.2759831846,0.3406691849
small,0.2694729269,0.2920652032
small,0.4156662822,0.3916911483
small,0.3473730087,0.3916911483
small,0.3669558465,0.2930911481
small,0.2706554532,0.2930911481
small,0.3485838771,0.3406691849
small,0.2727280259,0.3916911483
small,0.3048573434,0.3406691849
small,0.3425930142,0.3406691849
small,0.3292067945,0.2930911481
small,0.2909226418,0.3406691849
small,0.2507694066,0.2930911481
small,0.3475942016,0.3398346603
small,0.2757202685,0.3398346603
small,0.2503739893,0.3406691849
small,0.3405629098,0.2920652032
small,0.398956269,0.3406691849
small,0.2718604505,0.2930911481
small,0.3520477414,0.3911007941
small,0.3836291432,0.2930911481
small,0.2996577024,0.2930911481
small,0.3155971169,0.3398346603
small,0.451664716,0.3916911483
small,0.3116422594,0.3916911483
small,0.5381994843,0.5
small,0.4366936088,0.2930911481
small,0.3094268739,0.3406691849
small,0.5521935225,0.5551111102
small,0.4358645082,0.2930911481
small,0.2718191445,0.3916911483
small,0.559936583,0.4448888898
small,0.4154161513,0.2930911481
small,0.2996106744,0.3916911483
small,0.5691191554,0.4448888898
small,0.4893197417,0.5
small,0.4024671316,0.2930911481
small,0.2775045335,0.3916911483
small,0.5323475003,0.5664372444
small,0.4500822723,0.5664372444
small,0.4676085711,0.3916911483
small,0.3128577471,0.2930911481
small,0.2842487693,0.5
small,0.2776994109,0.309600085
small,0.4557291269,0.3916911483
small,0.3178870082,0.2771843374
small,0.3128806949,0.3916911483
small,0.3558367491,0.4335627258
small,0.3088502586,0.4448888898
small,0.3672294915,0.309600085
small,0.3046504259,0.2930911481
small,0.3890291452,0.4335627258
small,0.3987825215,0.4451949298
small,0.3399284184,0.2771843374
small,0.4046942294,0.2930911481
small,0.2657334208,0.2771843374
small,0.404804945,0.3454769254
small,0.5938991308,0.3398346603
small,0.4289833307,0.3454769254
small,0.482939899,0.3398346603
small,0.4132900536,0.4207999408
small,0.3834135532,0.3454769254
small,0.3426787257,0.3454769254
small,0.3035128117,0.2771843374
small,0.3012152612,0.3454769254
small,0.3334309161,0.3406691849
small,0.4114533067,0.4207999408
small,0.3105827868,0.3803819418
small,0.3902990222,0.4207999408
small,0.4157600701,0.4207999408
small,0.3958307207,0.2771843374
small,0.3494748473,0.2771843374
small,0.5002293587,0.2555325031
small,0.3557418585,0.3454769254
small,0.3892510533,0.3454769254
small,0.3761805892,0.2771843374
small,0.3129592538,0.2771843374
small,0.3628567457,0.2771843374
small,0.5231071711,0.3803819418
small,0.3285830617,0.2737150788
small,0.413081944,0.4207999408
small,0.5864043236,0.5
small,0.3142667115,0.3803819418
small,0.3950427771,0.3454769254
small,0.3566483855,0.2737150788
small,0.3809311986,0.3454769254
small,0.3595910072,0.3454769254
small,0.5662897825,0.3911007941
small,0.2629539073,0.2939058244
small,0.369799912,0.3454769254
small,0.6026235223,0.3911007941
small,0.4130288661,0.5
